metric,parameter,value,mean_score,std_dev
accuracy,C,0.001,0.9133333333333334,0.054160256030906385
accuracy,C,0.01,0.9200000000000003,0.03999999999999999
accuracy,C,0.1,0.9733333333333333,0.01333333333333333
accuracy,C,1.0,0.9800000000000001,0.016329931618554516
accuracy,C,10.0,0.9733333333333333,0.038873012632301994
accuracy,C,100.0,0.9666666666666665,0.04216370213557838
accuracy,C,1000.0,0.9666666666666665,0.04216370213557838
accuracy,kernel,linear,0.9800000000000001,0.016329931618554516
accuracy,kernel,poly,0.9800000000000001,0.016329931618554516
accuracy,kernel,rbf,0.9666666666666665,0.02108185106778919
accuracy,kernel,sigmoid,0.06666666666666667,0.05962847939999439
accuracy,max_iter,100.0,0.9800000000000001,0.016329931618554516
accuracy,max_iter,1000.0,0.9800000000000001,0.016329931618554516
accuracy,max_iter,10000,0.9800000000000001,0.016329931618554516
accuracy,max_iter,100000,0.9800000000000001,0.016329931618554516
f1_macro,C,0.001,0.9123979728960213,0.05522052029507587
f1_macro,C,0.01,0.9191867394855683,0.04058088925501927
f1_macro,C,0.1,0.9732664995822891,0.013366750208855494
f1_macro,C,1.0,0.9799498746867169,0.016370858765468226
f1_macro,C,10.0,0.9728562668393064,0.039745270448023375
f1_macro,C,100.0,0.9662063086104006,0.042895297762184294
f1_macro,C,1000.0,0.9662063086104006,0.042895297762184294
f1_macro,kernel,linear,0.9799498746867169,0.016370858765468226
f1_macro,kernel,poly,0.9799498746867169,0.016370858765468226
f1_macro,kernel,rbf,0.9666165413533833,0.021081890794608538
f1_macro,kernel,sigmoid,0.04287221095334685,0.03494447711521723
f1_macro,max_iter,100.0,0.9799498746867169,0.016370858765468226
f1_macro,max_iter,1000.0,0.9799498746867169,0.016370858765468226
f1_macro,max_iter,10000,0.9799498746867169,0.016370858765468226
f1_macro,max_iter,100000,0.9799498746867169,0.016370858765468226
precision_macro,C,0.001,0.9200643800643803,0.051589159226396
precision_macro,C,0.01,0.9279655529655532,0.03733114992590795
precision_macro,C,0.1,0.9757575757575759,0.01212121212121211
precision_macro,C,1.0,0.9818181818181818,0.014845392380504098
precision_macro,C,10.0,0.9785547785547785,0.03011958098874239
precision_macro,C,100.0,0.9712820512820514,0.03532138534917453
precision_macro,C,1000.0,0.9712820512820514,0.03532138534917453
precision_macro,kernel,linear,0.9818181818181818,0.014845392380504098
precision_macro,kernel,poly,0.9818181818181818,0.014845392380504098
precision_macro,kernel,rbf,0.9684848484848484,0.0211340554838336
precision_macro,kernel,sigmoid,0.031842105263157894,0.02471658025750868
precision_macro,max_iter,100.0,0.9818181818181818,0.014845392380504098
precision_macro,max_iter,1000.0,0.9818181818181818,0.014845392380504098
precision_macro,max_iter,10000,0.9818181818181818,0.014845392380504098
precision_macro,max_iter,100000,0.9818181818181818,0.014845392380504098
recall_macro,C,0.001,0.9133333333333334,0.054160256030906385
recall_macro,C,0.01,0.9200000000000003,0.040000000000000015
recall_macro,C,0.1,0.9733333333333333,0.01333333333333333
recall_macro,C,1.0,0.9800000000000001,0.016329931618554516
recall_macro,C,10.0,0.9733333333333333,0.038873012632301994
recall_macro,C,100.0,0.9666666666666665,0.0421637021355784
recall_macro,C,1000.0,0.9666666666666665,0.0421637021355784
recall_macro,kernel,linear,0.9800000000000001,0.016329931618554516
recall_macro,kernel,poly,0.9800000000000001,0.016329931618554516
recall_macro,kernel,rbf,0.9666666666666665,0.021081851067789228
recall_macro,kernel,sigmoid,0.06666666666666667,0.05962847939999439
recall_macro,max_iter,100.0,0.9800000000000001,0.016329931618554516
recall_macro,max_iter,1000.0,0.9800000000000001,0.016329931618554516
recall_macro,max_iter,10000,0.9800000000000001,0.016329931618554516
recall_macro,max_iter,100000,0.9800000000000001,0.016329931618554516
